name,type,category,parent,aliases,description
"Tokopedia NOW",service,E-commerce,Tokopedia,"Tokopedia Now|Supermarket Tokopedia","Layanan belanja kebutuhan harian kilat pengiriman 2 jam tiba"
GoRide,service,"Ride Hailing",Gojek,"Go-Ride|Ojek Gojek","Layanan transportasi motor ojek online cepat melintasi kemacetan"
Indomie,brand,"Brand Umum",,"Mie Indomie|PT Indofood CBP","Brand mie instan legendaris nomor satu di Indonesia"
Aqua,brand,"Brand Umum",,"Danone Aqua|Air Mineral Aqua","Pelopor air minum dalam kemasan (AMDK) berkualitas di Indonesia"
"Le Minerale",brand,"Brand Umum",,"Le Minerale Mayora|Air Le Minerale","Air mineral pegunungan dengan mineral esensial dari Mayora"
"Ultra Milk",brand,"Brand Umum",,"Susu Ultra|Ultrajaya","Pelopor susu UHT berkualitas dari susu sapi segar alami"
"Teh Botol Sosro",brand,"Brand Umum",,"Tehbotol Sosro|Sosro","Pelopor teh siap minum dalam kemasan botol pertama di dunia"
"Kopi Kenangan",brand,"Brand Umum",,"Kenangan Coffee|Kopi Kenangan Mantan","Rantai kedai kopi grab-and-go unicorn pertama di Asia Tenggara"
"Janji Jiwa",brand,"Brand Umum",,"Kopi Janji Jiwa|Jiwa Group","Jaringan kedai kopi lokal dengan konsep kopi dari hati"
Chatime,brand,"Brand Umum",,"Chatime Indonesia|F&B ID","Brand brewed tea dan boba drink populer di bawah naungan F&B ID"
Mixue,brand,"Brand Umum",,"Mixue Ice Cream & Tea|Mixue Indonesia","Rantai es krim soft serve dan teh segar asal Tiongkok berharga terjangkau"
Wardah,brand,"Brand Umum",,"Wardah Cosmetics|Paragon Corp","Pionir kosmetik dan skincare halal terkemuka di Indonesia"
"Scarlett Whitening",brand,"Brand Umum",,"Scarlett|Scarlett by Felicya Angelista","Brand skincare dan bodycare lokal dengan wangi mewah tahan lama"
Somethinc,brand,"Brand Umum",,"Somethinc Official|Beauty Somethinc","Brand kecantikan lokal berstandar internasional dengan formula inovatif"
Kahf,brand,"Brand Umum",,"Kahf Men|Kahf Everyday","Brand perawatan diri pria dengan bahan alami dan halal dari Paragon"
Eiger,brand,"Brand Umum",,"Eiger Adventure|PT Eigerindo Multi Produk","Brand perlengkapan aktivitas luar ruang dan petualangan tropis ternama"
Erigo,brand,"Brand Umum",,"Erigo Apparel|Erigo Store","Brand fashion lokal streetwear karya anak bangsa yang mendunia"
Ventela,brand,"Brand Umum",,"Sepatu Ventela|Ventela Shoes","Brand sepatu vulcanized lokal berkualitas tinggi dengan harga bersahabat"
Compass,brand,"Brand Umum",,"Sepatu Compass|Compass Gazelle","Brand sepatu sneakers retro lokal paling dicari pencinta fashion"
Polytron,brand,"Brand Umum",,"Polytron Indonesia|PT Hartono Istana Teknologi","Perusahaan elektronik konsumen dan audio visual asli Indonesia"
Miyako,brand,"Brand Umum",,"Miyako Indonesia|Elektronik Miyako","Peralatan rumah tangga andalan keluarga Indonesia berstandar SNI"
Maspion,brand,"Brand Umum",,"Maspion Group|Cintailah Produk Produk Indonesia","Produsen peralatan dapur dan elektronik rumah tangga legendaris"
"Joko Widodo",person,"Politisi",,"Jokowi|Presiden Jokowi","Presiden ke-7 Republik Indonesia periode 2014-2024"
"Prabowo Subianto",person,"Politisi",,"Prabowo|Presiden Prabowo","Presiden Republik Indonesia, mantan Menteri Pertahanan dan purnawirawan TNI"
"Anies Baswedan",person,"Politisi",,"Anies|Gubernur Anies","Mantan Gubernur DKI Jakarta dan tokoh politik nasional"
"Ganjar Pranowo",person,"Politisi",,"Ganjar","Mantan Gubernur Jawa Tengah dan tokoh politik nasional"
"Ridwan Kamil",person,"Politisi",,"RK|Kang Emil","Mantan Gubernur Jawa Barat dan tokoh politik nasional"
"Raffi Ahmad",person,"Selebriti & Artis",,"Raffi","Presenter dan selebriti multitalenta Indonesia"
"Nagita Slavina",person,"Selebriti & Artis",,"Gigi|Nagita","Presenter dan pengusaha selebriti Indonesia"
"Deddy Corbuzier",person,"Selebriti & Artis",,"Om Deddy|Mr. Suggestive","Mentalis, presenter, dan podcaster Indonesia"
"Ariel NOAH",person,"Selebriti & Artis",,"Ariel Noah|Nazriel Ilham","Vokalis band NOAH dan musisi Indonesia"
"Agnez Mo",person,"Selebriti & Artis",,"Agnes Monica","Penyanyi dan aktris Indonesia berkarier internasional"
"Jonatan Christie",person,"Atlet",,"Jojo","Atlet bulu tangkis tunggal putra Indonesia"
"Greysia Polii",person,"Atlet",,,"Atlet bulu tangkis ganda putri peraih emas Olimpiade Indonesia"
"Pratama Arhan",person,"Atlet",,"Arhan","Pemain sepak bola timnas Indonesia"
"Rizky Ridho",person,"Atlet",,"Rizky Ridho Ramadhani","Pemain sepak bola timnas Indonesia"
"Anthony Sinisuka Ginting",person,"Atlet",,"Ginting","Atlet bulu tangkis tunggal putra Indonesia"
"Chairul Tanjung",person,"Pengusaha",,"CT","Pengusaha dan pendiri CT Corp"
"William Tanuwijaya",person,"Pengusaha",,,"Pengusaha teknologi pendiri Tokopedia"
"Achmad Zaky",person,"Pengusaha",,,"Pengusaha teknologi pendiri Bukalapak"
"Hary Tanoesoedibjo",person,"Pengusaha",,"Hary Tanoe","Pengusaha media dan pendiri MNC Group"
"Sandiaga Uno",person,"Pengusaha",,"Sandi Uno","Pengusaha dan tokoh publik Indonesia"
"Atta Halilintar",person,"Kreator Konten",,"Atta","Kreator konten dan YouTuber Indonesia"
"Ria Ricis",person,"Kreator Konten",,"Ricis","Kreator konten dan YouTuber Indonesia"
"Baim Wong",person,"Kreator Konten",,,"Aktor dan kreator konten Indonesia"
"Arief Muhammad",person,"Kreator Konten",,"Poconggg","Penulis dan kreator konten Indonesia"
"Jerome Polin",person,"Kreator Konten",,"Jerome Polin Sijabat","Kreator konten edukasi dan YouTuber Indonesia"
"Dedi Mulyadi",person,"Politisi",,"Kang Dedi|KDM","Gubernur Jawa Barat dan tokoh politik nasional"
"Roy Suryo",person,"Politisi",,,"Pengamat telematika dan mantan Menteri Pemuda dan Olahraga"
"Bahlil Lahadalia",person,"Politisi",,,"Menteri ESDM dan tokoh politik nasional"
"Purbaya Yudhi Sadewa",person,"Politisi",,,"Menteri Keuangan Republik Indonesia"
Indofood,brand,"FMCG",,"Indofood Sukses Makmur|Indomie","Produsen makanan dan minuman konsumen terbesar di Indonesia"
"Unilever Indonesia",brand,"FMCG",,"Unilever ID","Perusahaan barang konsumen multinasional dengan produk rumah tangga dan personal care"
"Wings Group",brand,"FMCG",,"Wings Food|Wings Surya","Konglomerasi FMCG asli Indonesia produsen sabun dan makanan"
Mayora,brand,"FMCG",,"Mayora Indah|PT Mayora","Produsen makanan dan minuman kemasan asal Indonesia"
Garudafood,brand,"FMCG",,"PT Garudafood","Produsen makanan ringan dan minuman kemasan Indonesia"
"Bank Central Asia",brand,"Bank & E-Wallet",,"BCA|Bank BCA","Bank swasta terbesar di Indonesia"
"Bank Mandiri",brand,"Bank & E-Wallet",,"Mandiri|Bank Mandiri Persero","Bank BUMN terbesar di Indonesia"
GoPay,brand,"Bank & E-Wallet",,"Go-Pay|Gopay Indonesia","Layanan dompet digital dari grup GoTo"
OVO,brand,"Bank & E-Wallet",,,"Layanan dompet digital dan pembayaran elektronik Indonesia"
DANA,brand,"Bank & E-Wallet",,"Dana Indonesia","Layanan dompet digital dan pembayaran elektronik Indonesia"
"Garuda Indonesia",brand,"Maskapai Penerbangan",,"Garuda|GA","Maskapai penerbangan nasional Indonesia"
"Lion Air",brand,"Maskapai Penerbangan",,,"Maskapai penerbangan swasta terbesar di Indonesia"
Citilink,brand,"Maskapai Penerbangan",,"Citilink Indonesia","Maskapai penerbangan berbiaya rendah anak usaha Garuda Indonesia"
"AirAsia Indonesia",brand,"Maskapai Penerbangan",,"Air Asia Indonesia|Indonesia AirAsia","Maskapai penerbangan berbiaya rendah asal Malaysia yang beroperasi di Indonesia"
"Batik Air",brand,"Maskapai Penerbangan",,,"Maskapai penerbangan full-service anak usaha Lion Air Group"
Mekari,brand,"SaaS & Software",,"Mekari Jurnal|Mekari Talenta","Perusahaan SaaS Indonesia penyedia software akuntansi dan HR"
"Accurate Online",brand,"SaaS & Software",,"Accurate Software|CPSSoft","Software akuntansi berbasis cloud asal Indonesia"
Canva,brand,"SaaS & Software",,"Canva Indonesia","Platform desain grafis online berbasis cloud"
Zoom,brand,"SaaS & Software",,"Zoom Video Communications","Platform konferensi video dan komunikasi online"
Slack,brand,"SaaS & Software",,,"Platform komunikasi dan kolaborasi tim berbasis cloud"
"BPJS Kesehatan",brand,"Institusi & Layanan Publik",,,"Badan penyelenggara jaminan sosial kesehatan nasional Indonesia"
PLN,brand,"Institusi & Layanan Publik",,"Perusahaan Listrik Negara","Badan usaha milik negara penyedia listrik nasional"
Dukcapil,brand,"Institusi & Layanan Publik",,"Disdukcapil","Layanan kependudukan dan pencatatan sipil pemerintah"
Samsat,brand,"Institusi & Layanan Publik",,,"Layanan administrasi pajak dan registrasi kendaraan bermotor"
PDAM,brand,"Institusi & Layanan Publik",,"Perusahaan Daerah Air Minum","Badan usaha milik daerah penyedia layanan air bersih"
